Main Name	search term	score	Human Intestinal Absorption	Blood Brain Barrier	P-glycoprotein Inhibition	Drug Induced Liver Injury	CYP3A4 Inhibition	CYP2C9 Inhibition	DrugBank:Routes	DrugBank:FDA Approved	Less than $500	Pediatric Safety
methylprednisolone	['lrrk2 (human)', 'movement disorder', 'cerebellar ataxia', 'intellectual disability', 'spasticity', 'neurodevelopmental disorder', 'mtor (human)', 'ntrk2 (human)', 'neuroinflammation', 'autism', 'drd1 (human)', 'inborn disorder of neurotransmitter metabolism and transport', 'generalized dystonia', 'arf6 (human)', 'neurodegenerative disease', 'axonal neuropathy']	5	0.994588829	0.6799579734	0.3370016974	0.1512332937	0.0756590629	0.0228744849	{'perineural', 'intramuscular', 'intrabursal', 'intra-arterial', 'intrasynovial', 'infiltration', 'parenteral', 'epidural', 'subcutaneous', 'topical', 'intravascular', 'oral', 'periarticular', 'intrabronchial', 'intravenous', 'intrathecal', 'intra-articular', 'intrameningeal', 'intracaudal', 'soft tissue', 'intralesional'}	1	TRUE	TRUE
midodrine	['movement disorder', 'cerebellar ataxia', 'generalized dystonia', 'inborn disorder of neurotransmitter metabolism and transport', 'neurodegenerative disease']	5	0.9941974572	0.5439380036	0.0276052086	0.0960257179	0.1034046348	0.0290215325	{'oral'}	1	TRUE	TRUE
alfacalcidol	axonal neuropathy	4	0.9956055258	0.6902847237	0.6589712814	0.0994645783	0.0569378673	0.0874260898	{'oral', 'intravenous'}	1	TRUE	TRUE
amantadine	['movement disorder', 'cerebellar ataxia', 'spasticity', 'neurodevelopmental disorder', 'autism', 'generalized dystonia', 'inborn disorder of neurotransmitter metabolism and transport', 'neurodegenerative disease', 'axonal neuropathy']	4	0.9947038662	0.9590178545	0.0316617165	0.1653867416	0.0100970114	0.0048468235	{'oral', 'topical'}	1	TRUE	TRUE
bisoprolol	['generalized dystonia', 'axonal neuropathy']	4	0.9945007443	0.6172274123	0.155781309	0.0984139437	0.0916775584	0.0396609295	{'oral'}	1	TRUE	TRUE
clemastine	['neuroinflammation', 'neurodevelopmental disorder', 'neurodegenerative disease', 'autism']	4	0.9962602638	0.9759375362	0.6988985776	0.0808508324	0.0865412139	0.0174891847	{'oral'}	1	TRUE	TRUE
flunarizine	['movement disorder', 'cerebellar ataxia', 'neurodevelopmental disorder', 'autism', 'inborn disorder of neurotransmitter metabolism and transport']	4	0.99469312	0.9601832251	0.863036718	0.2053788872	0.15584724	0.3741565833	{'oral'}	1	TRUE	TRUE
hydroxyurea	['increased reactive oxygen species production', 'lrrk2 (human)', 'movement disorder', 'arf6 (human)', 'neurodegenerative disease']	4	0.9791829144	0.8049959977	0.0340178223	0.2577863354	0.0007573177	0.0019061903	{'oral'}	1	TRUE	TRUE
lisdexamfetamine	['inborn disorder of neurotransmitter metabolism and transport', 'autism']	4	0.9950077781	0.7937560259	0.0457279419	0.1252882314	0.211595254	0.0251816876	{'oral'}	1	TRUE	TRUE
naloxone	['lrrk2 (human)', 'movement disorder', 'mapk8 (human)', 'neurodevelopmental disorder', 'ntrk2 (human)', 'neuroinflammation', 'inborn disorder of neurotransmitter metabolism and transport', 'autism', 'drd1 (human)', 'generalized dystonia', 'arf6 (human)', 'neurodegenerative disease', 'axonal neuropathy']	4	0.9946825046	0.9766973501	0.0362552897	0.0492715036	0.0161851838	0.0093924294	{'parenteral', 'buccal', 'subcutaneous', 'sublingual', 'topical', 'intramuscular', 'oral', 'not applicable', 'nasal', 'intravenous'}	1	TRUE	TRUE
pregabalin	['increased reactive oxygen species production', 'movement disorder', 'cerebellar ataxia', 'intellectual disability', 'spasticity', 'ntrk2 (human)', 'neuroinflammation', 'autism', 'generalized dystonia', 'inborn disorder of neurotransmitter metabolism and transport', 'axonal neuropathy']	4	0.991528913	0.6989320913	0.0138509315	0.0690958076	0.0024115988	0.004761295	{'oral', 'not applicable'}	1	TRUE	TRUE
progesterone	['lrrk2 (human)', 'movement disorder', 'cerebellar ataxia', 'cdk5 (human)', 'spasticity', 'spag9 (human)', 'mapk8 (human)', 'neurodevelopmental disorder', 'ntrk2 (human)', 'neuroinflammation', 'inborn disorder of neurotransmitter metabolism and transport', 'autism', 'generalized dystonia', 'arf6 (human)', 'neurodegenerative disease', 'axonal neuropathy']	4	0.9967814351	0.224789552	0.601473929	0.4204950912	0.0245982925	0.1273965503	{'subcutaneous', 'topical', 'transdermal', 'intramuscular', 'oral', 'not applicable', 'vaginal'}	1	TRUE	TRUE
pseudoephedrine	['mapk8 (human)', 'neurodegenerative disease', 'axonal neuropathy', 'movement disorder']	4	0.9958433434	0.5740151209	0.0155872898	0.0699944505	0.0075026293	0.0121261765	{'nasal', 'oral'}	1	TRUE	TRUE
succinic acid	cerebellar ataxia	4	0.8118549444	0.741421301	0.0070935316	0.1835493921	8.19E-05	0.0022398467	{'oral'}	1	TRUE	TRUE
terbinafine	axonal neuropathy	4	0.9959512213	0.9522445857	0.3129907595	0.3939757448	0.1367278931	0.1148050903	{'oral', 'topical'}	1	TRUE	TRUE
tranexamic acid	['axonal neuropathy', 'inborn disorder of neurotransmitter metabolism and transport', 'neurodegenerative disease', 'autism']	4	0.9872300948	0.6570995448	0.0109220341	0.1033911697	0.0006443192	0.0002857755	{'cutaneous', 'oral', 'topical', 'intravenous'}	1	TRUE	TRUE
tretinoin	['increased reactive oxygen species production', 'lrrk2 (human)', 'spag9 (human)', 'mapk8 (human)', 'ntrk2 (human)', 'neuroinflammation', 'inborn disorder of neurotransmitter metabolism and transport', 'generalized dystonia', 'arf6 (human)', 'neurodegenerative disease', 'axonal neuropathy']	4	0.9944326323	0.8323522311	0.1676068926	0.2686619844	0.0807070793	0.2796989895	{'oral', 'not applicable', 'topical'}	1	TRUE	TRUE
trihexyphenidyl	['movement disorder', 'spasticity', 'generalized dystonia', 'inborn disorder of neurotransmitter metabolism and transport', 'neurodegenerative disease']	4	0.9960152808	0.9725378189	0.1964023806	0.0554120535	0.0293284329	0.0178718402	{'oral'}	1	TRUE	TRUE
acamprosate	['neurodevelopmental disorder', 'autism', 'movement disorder']	3	0.9705819608	0.8691102659	0.0114947798	0.1951547666	0.0006955884	0.0007149503	{'oral'}	1	TRUE	TRUE
eplerenone	['increased reactive oxygen species production', 'lrrk2 (human)', 'ntrk2 (human)', 'axonal neuropathy']	3	0.9905279282	0.9091744589	0.3319196378	0.3996676024	0.1096024611	0.0332692192	{'oral'}	1	TRUE	TRUE
ethambutol	neurodegenerative disease	3	0.9696451422	0.5868236089	0.0181843421	0.0512393378	0.0006028808	0.0005203098	{'oral'}	1	TRUE	TRUE
ethosuximide	['movement disorder', 'cerebellar ataxia', 'neurodevelopmental disorder', 'autism', 'neurodegenerative disease']	3	0.9899707332	0.9644059323	0.0145353643	0.2966453389	0.0527495693	0.0623353524	{'oral'}	1	TRUE	TRUE
felbamate	['neurodegenerative disease', 'autism']	3	0.9945584563	0.9401317832	0.0411029686	0.4436324857	0.0032989847	0.0025378222	{'oral'}	1	TRUE	TRUE
fusidic acid	arf6 (human)	3	0.919237597	0.2645779084	0.7606677824	0.2514432575	0.0464160123	0.0099054296	{'ophthalmic', 'oral', 'topical', 'intravenous'}	1	TRUE	TRUE
gamma-hydroxybutyric acid	['movement disorder', 'neurodevelopmental disorder', 'generalized dystonia', 'inborn disorder of neurotransmitter metabolism and transport', 'axonal neuropathy']	3	0.9493179992	0.6615746959	0.0086696188	0.0738772617	0.0009739408	0.0017763784	{'oral'}	1	TRUE	TRUE
